curp,nombre,apellido_paterno,apellido_materno,fecha_nacimiento,edad,sexo,nivel_trabajo,casa,ahorros,cheques,credito_cantidad,credito_duracion,credito_proposito,riego
PUDJ430624,Juanita,Pruneda,Doughtry,1943-06-24,75,M,0,no,pequena,1055,41918,21,carro,bueno
SISL111201,Lillie,Shipe,Shipman,1911-12-01,107,M,2,renta,pequena,9409,49647,14,TV,bueno
ZEHV110712,Virginia,Zweier,Holt,1911-07-12,107,M,3,no,pequena,9932,28963,16,TV,bueno
BAHD471025,Duane,Barnum,Haslam,1947-10-25,71,H,0,renta,pequena,3411,29810,17,carro,bueno
HATD900616,Dianne,Harrison,Tedeschi,1990-06-16,28,M,3,propia,muy-grande,84036849,28917,16,linea blanca,malo
SAPS900619,Steven,Saylor,Pratt,1990-06-19,28,H,1,renta,muy-grande,582622,15026,3,reparaciones,bueno
HUML630810,Lionel,Hutchinson,Mcnair,1963-08-10,55,H,1,propia,alta,37241319,2201,13,educacion,malo
SIAM010921,Michael,Smith,Arfman,1901-09-21,117,H,1,propia,pequena,5080,44234,15,carro,malo
SASG820430,George,Stanley,Stoltzfus,1982-04-30,36,H,1,propia,muy-grande,24840506,45703,7,radio,bueno
COLD441129,Darnell,Cote,Lane,1944-11-29,74,H,3,renta,alta,1260468,26940,16,TV,bueno
TOMA840601,Arthur,Thompson,Myles,1984-06-01,34,H,3,renta,moderada,46714,25121,20,carro,malo
EAUR520717,Ruth,Edwards,Underwood,1952-07-17,66,M,3,renta,muy-grande,57782185,33386,17,otros,bueno
HAHJ550314,Jesse,Harrington,Hunt,1955-03-14,64,H,1,renta,alta,9943804,1905,6,carro,malo
AEWA430302,Ambrose,Angel,Wertz,1943-03-02,76,H,3,renta,pequena,9746,20004,4,vacaciones,bueno
HAAS701212,Shirley,Hayes,Alexander,1970-12-12,48,M,0,renta,alta,51940630,15264,9,equipo,malo
HOTE580215,Earl,Howard,Taylor,1958-02-15,61,H,0,propia,muy-grande,81707892,34595,24,carro,bueno
RORD441026,Douglas,Rodriguez,Robinson,1944-10-26,74,H,2,no,muy-grande,19583326,38325,10,equipo,malo
BASM081229,Margaret,Bryant,Smith,1908-12-29,110,M,2,propia,pequena,5077,48664,7,equipo,bueno
JOWO230430,Olivia,Jones,Whitaker,1923-04-30,95,M,3,propia,moderada,24446,42000,5,otros,bueno
SOPK760714,Kenneth,Soule,Pottinger,1976-07-14,42,H,2,no,muy-grande,39091311,22888,10,vacaciones,malo
MOGJ850104,Jeffrey,Mortensen,Greenblatt,1985-01-04,34,H,0,renta,moderada,22507,42967,3,educacion,bueno
BUHJ050929,Jerry,Burgos,Harrell,1905-09-29,113,H,1,propia,pequena,8546,23517,13,reparaciones,malo
WIDR050701,Russell,Wilson,Dunham,1905-07-01,113,H,2,renta,pequena,1163,155,21,TV,malo
BOHJ510914,Juliann,Boyd,Hoag,1951-09-14,67,M,0,propia,alta,59277447,19494,15,vacaciones,bueno
LEPT500929,Thelma,Lehrke,Parrish,1950-09-29,68,M,1,propia,muy-grande,94077150,21898,20,vacaciones,malo
BAPM960617,Michelle,Barrett,Pifer,1996-06-17,22,M,1,renta,muy-grande,9266006,3967,5,educacion,malo
CAAA890905,Anna,Chafin,Anderson,1989-09-05,29,M,1,renta,pequena,773,48774,22,reparaciones,malo
SAZC310913,Charles,Sargent,Zee,1931-09-13,87,H,0,no,muy-grande,27238889,49386,10,linea blanca,bueno
PESR470321,Robert,Pennington,Szmidt,1947-03-21,72,H,2,renta,alta,76029328,19496,5,reparaciones,malo
GEMG221122,Gloria,George,Mead,1922-11-22,96,M,3,renta,pequena,1351,2411,7,carro,malo
IESM290805,Michael,Ives,Su,1929-08-05,89,H,1,renta,moderada,15572,25427,22,vacaciones,bueno
SATL130608,Lori,Staton,Turnipseed,1913-06-08,105,M,1,propia,muy-grande,45818364,48529,7,vacaciones,malo
VERC450222,Cassie,Verdin,Ramirez,1945-02-22,74,M,3,renta,muy-grande,46188572,41400,21,equipo,malo
GAKS770826,Sue,Gatto,Kane,1977-08-26,41,M,1,no,alta,57513314,14878,22,radio,bueno
DEEL500422,Lindsay,Delarosa,Ellis,1950-04-22,69,M,3,propia,moderada,46853,9758,21,reparaciones,malo
SAGD840511,Donald,Stanley,Guess,1984-05-11,34,H,3,no,pequena,2476,14353,2,carro,malo
MUSC221104,Chad,Murray,Smith,1922-11-04,96,H,1,propia,pequena,9978,4156,20,educacion,malo
YOPW150722,Warren,Younger,Powell,1915-07-22,103,H,1,propia,alta,28912423,5268,16,carro,malo
SETS910218,Stacy,Stelzer,Thompson,1991-02-18,28,M,2,no,moderada,11138,46633,17,linea blanca,bueno
ROCM340131,Mathew,Robinson,Creswell,1934-01-31,85,H,1,propia,pequena,8748,9061,15,reparaciones,bueno
PAAR991102,Rebecca,Pate,Adams,1999-11-02,19,M,1,no,moderada,32741,15477,18,educacion,bueno
RELT241028,Ted,Reeves,Lopez,1924-10-28,94,H,2,renta,pequena,2112,13139,5,reparaciones,bueno
LAPC041201,Carlos,Lapointe,Pena,1904-12-01,114,H,3,renta,moderada,25825,2038,11,radio,malo
MICS990421,Stephen,Mitchell,Campbell,1999-04-21,20,H,1,no,muy-grande,25570953,49252,3,muebles,bueno
BEGF810516,Fran,Beasley,Garay,1981-05-16,37,M,1,propia,alta,67510016,10257,22,linea blanca,malo
MOEC590401,Charles,Mount,Evans,1959-04-01,60,H,3,no,alta,7774798,48549,12,radio,bueno
DASM800810,Mario,Day,Scott,1980-08-10,38,H,2,propia,pequena,2884,18509,17,carro,malo
GEFS181207,Steven,Green,Frezzo,1918-12-07,100,H,3,no,alta,939755,1969,21,linea blanca,bueno
AABJ890829,John,Ayala,Benbow,1989-08-29,29,H,2,propia,muy-grande,60585523,46663,2,vacaciones,bueno
EADL050520,Larry,Evans,Davis,1905-05-20,113,H,0,no,pequena,1659,21257,22,muebles,malo
WINJ310726,John,Williams,Nguyen,1931-07-26,87,H,2,no,muy-grande,28621420,36471,21,equipo,malo
CAJA720202,Allen,Clark,Jenkins,1972-02-02,47,H,1,propia,alta,63915553,5610,19,linea blanca,malo
DIVD310121,Donnie,Driver,Vansice,1931-01-21,88,H,1,propia,moderada,16006,1632,13,radio,malo
OEWV190118,Violeta,Ogden,Walters,1919-01-18,100,M,0,propia,muy-grande,5956654,44165,4,negocios,bueno
MOCB420730,Beverly,Morris,Costa,1942-07-30,76,M,1,renta,pequena,3260,26810,23,reparaciones,malo
HAND650818,David,Hanley,Neal,1965-08-18,53,H,2,no,alta,22560055,13810,13,otros,bueno
WIFQ110912,Quentin,Williams,Frandsen,1911-09-12,107,H,2,propia,alta,27164848,17345,14,educacion,malo
LOFD430710,David,Lorenz,Forbes,1943-07-10,75,H,1,renta,alta,42968340,23615,17,negocios,malo
POJJ460210,Jonathan,Pollard,Jones,1946-02-10,73,H,1,no,pequena,7215,16297,14,equipo,bueno
AIBE850113,Elizabeth,Antilla,Barbeau,1985-01-13,34,M,3,propia,alta,80529618,14372,15,radio,malo
HOLA160129,Anthony,Hostetter,Loy,1916-01-29,103,H,0,no,moderada,15555,3841,5,vacaciones,malo
FUBM600826,Michael,Furness,Beach,1960-08-26,58,H,2,renta,muy-grande,20583507,7799,10,linea blanca,malo
DITT950718,Timothy,Dial,Thompson,1995-07-18,23,H,3,renta,muy-grande,64262418,33047,7,negocios,malo
PAHD250415,Donna,Patterson,Hogan,1925-04-15,94,M,0,propia,alta,70791725,14932,7,TV,malo
RUAA290924,Armando,Ruggiero,Alconcel,1929-09-24,89,H,2,no,pequena,5625,34136,8,TV,bueno
HECR080805,Rose,Heyman,Carson,1908-08-05,110,M,0,propia,moderada,31936,20869,15,negocios,bueno
PUWR870911,Ronald,Puente,Wheeler,1987-09-11,31,H,2,renta,moderada,28032,40006,3,reparaciones,bueno
BEPD200311,David,Brennan,Palmer,1920-03-11,99,H,1,propia,pequena,7652,8222,6,muebles,malo
JAGG780628,Gary,Jackson,Gillette,1978-06-28,40,H,3,propia,alta,81135280,1946,19,educacion,malo
GAHJ540317,John,Garrett,Hundley,1954-03-17,65,H,0,renta,muy-grande,21638660,43252,23,radio,bueno
WAPS790303,Sherie,Walker,Polcovich,1979-03-03,40,M,3,no,muy-grande,64496194,48881,4,radio,malo
GICC291230,Cassandra,Grimm,Cooper,1929-12-30,89,M,1,no,muy-grande,14433329,2963,12,carro,bueno
HIHJ990731,Joe,Higgins,Hardwick,1999-07-31,19,H,2,renta,moderada,39956,25724,2,reparaciones,bueno
OEBR800416,Richard,Owens,Banks,1980-04-16,39,H,0,propia,muy-grande,3801877,37074,21,carro,bueno
SEPR650414,Rose,Seward,Phariss,1965-04-14,54,M,1,no,muy-grande,93791958,28251,7,muebles,malo
WIHC060718,Charlotte,Williams,Hernandez,1906-07-18,112,M,1,no,pequena,3181,15581,6,linea blanca,malo
BUAW450224,William,Burton,Arch,1945-02-24,74,H,1,renta,moderada,27164,11325,20,radio,malo
MOWA330616,Anthony,Moriarty,Wittwer,1933-06-16,85,H,0,renta,pequena,6093,2114,12,otros,malo
DISB160807,Brittany,Dickson,Stiles,1916-08-07,102,M,0,propia,moderada,23319,36610,7,negocios,bueno
MACW701018,Wendy,Martin,Camerano,1970-10-18,48,M,0,renta,alta,33147121,16055,24,vacaciones,bueno
MOMV270213,Virginia,Montero,Moilanen,1927-02-13,92,M,3,renta,alta,86682159,43773,15,muebles,bueno
MAGM090313,Michael,Marquis,Good,1909-03-13,110,H,1,no,pequena,940,31458,7,radio,bueno
AAMR450721,Robert,Adamson,Muldoon,1945-07-21,73,H,2,renta,alta,96935854,24782,2,equipo,bueno
RIGJ441209,Jeffery,Rivera,Green,1944-12-09,74,H,2,renta,moderada,19474,44614,22,TV,bueno
CASJ751224,Joseph,Carrabine,Street,1975-12-24,43,H,3,propia,pequena,3040,2873,24,educacion,bueno
DOBT110623,Timothy,Doss,Bassetti,1911-06-23,107,H,2,renta,muy-grande,56700867,42408,5,educacion,malo
WIHL060617,Lois,Williams,Hadiaris,1906-06-17,112,M,3,renta,moderada,38408,26511,2,radio,malo
VAGK490719,Kyle,Vale,Gurley,1949-07-19,69,H,1,propia,alta,46722370,40777,4,otros,malo
KIFJ630627,Jared,Kirtner,Farrell,1963-06-27,55,H,2,renta,pequena,8994,22559,17,carro,bueno
TAGP060619,Pamela,Takemura,Greenhalge,1906-06-19,112,M,3,propia,alta,59846741,37826,18,reparaciones,malo
MOWJ770901,Jacquelyne,Morrow,Wiggins,1977-09-01,41,M,3,no,pequena,7252,17982,12,negocios,malo
GUTS750227,Susan,Gutoski,Tucker,1975-02-27,44,M,0,renta,pequena,2794,23040,18,linea blanca,bueno
WOMT360107,Troy,Wroblewski,Marr,1936-01-07,83,H,2,no,pequena,7216,27171,6,reparaciones,bueno
BAWT131101,Terry,Barb,Washington,1913-11-01,105,M,1,renta,moderada,43938,9875,9,equipo,bueno
SASL121025,Linda,Sacarello,Schubert,1912-10-25,106,M,2,propia,pequena,6501,9505,2,muebles,malo
FEHS990130,Sammy,Frederick,Hill,1999-01-30,20,H,0,renta,muy-grande,59945598,7818,15,equipo,malo
AEAR440110,Robert,Atherton,Armstrong,1944-01-10,75,H,3,no,moderada,32139,39556,12,otros,malo
HADV421130,Virginia,Harris,Drake,1942-11-30,76,M,1,no,pequena,8026,40869,18,linea blanca,malo
GUHK670831,Kenneth,Guers,Hernandez,1967-08-31,51,H,2,propia,alta,10285629,20918,4,reparaciones,malo
SEMM591007,Mark,Speir,Madlung,1959-10-07,59,H,0,propia,pequena,8495,41076,8,carro,bueno
HABJ700502,Julie,Hammen,Blakely,1970-05-02,48,M,2,renta,muy-grande,40761805,33947,13,radio,bueno
LIRS720113,Sue,Lindsey,Roberts,1972-01-13,47,M,1,no,pequena,468,23177,12,equipo,bueno
BARS271214,Sean,Barbosa,Richards,1927-12-14,91,H,3,propia,moderada,48504,30986,6,otros,malo
WAFA301130,Anna,Walton,Frilling,1930-11-30,88,M,2,no,pequena,4198,23678,14,educacion,bueno
OOPJ130717,John,Olson,Paige,1913-07-17,105,H,2,renta,alta,33254829,7834,16,otros,malo
WOPC010312,Colleen,Worthington,Powers,1901-03-12,118,M,3,propia,alta,10598859,9198,24,equipo,bueno
GOBA520916,Andrea,Gomer,Bennett,1952-09-16,66,M,0,renta,muy-grande,78399281,11638,17,negocios,bueno
WEWK590828,Kenneth,West,Wilbert,1959-08-28,59,H,0,propia,muy-grande,4745032,616,20,reparaciones,malo
FEDJ710612,Jason,Fletcher,Dininno,1971-06-12,47,H,3,propia,alta,40338179,23625,4,reparaciones,bueno
HOPJ651006,Joyce,Hochstatter,Prater,1965-10-06,53,M,3,no,alta,82364780,17966,14,educacion,malo
FOGE620513,Erik,Foster,Gutierrez,1962-05-13,56,H,0,no,moderada,38881,2871,3,radio,malo
HAMS950624,Scott,Harris,Morrison,1995-06-24,23,H,0,no,muy-grande,66979311,31425,3,educacion,bueno
KERP950512,Pura,Kelleher,Robinson,1995-05-12,23,M,1,propia,pequena,3984,29973,8,linea blanca,bueno
MIKL630402,Lucille,Mitchell,Keith,1963-04-02,56,M,0,no,moderada,11048,5114,12,TV,malo
SEJR651215,Richard,Stewart,Juelfs,1965-12-15,53,H,1,no,alta,66310453,39678,2,radio,bueno
CABD450208,Diana,Clay,Beirne,1945-02-08,74,M,2,renta,alta,356858,2722,19,educacion,bueno
HEHE980718,Ella,Herrington,Hackworth,1998-07-18,20,M,0,no,moderada,18727,46578,15,vacaciones,malo
PAFL320326,Lyndon,Patterson,Ford,1932-03-26,87,H,0,no,muy-grande,12152966,37650,15,muebles,malo
GAGJ300701,James,Gann,Griffen,1930-07-01,88,H,2,propia,alta,17288727,43117,7,equipo,malo
DASS501108,Shane,Damelio,Sayles,1950-11-08,68,H,1,propia,alta,6908179,31163,5,vacaciones,malo
PULM700809,Mary,Pugmire,Lettieri,1970-08-09,48,M,3,renta,alta,78503461,36257,13,vacaciones,bueno
OKS571129Q,Steven,Ott,Kinder,1957-11-29,61,H,2,propia,moderada,22748,39046,24,carro,bueno
MUGH530608,Herbert,Munoz,Green,1953-06-08,65,H,3,propia,alta,73384894,33238,17,TV,bueno
VINP281018,Percy,Vito,Noreen,1928-10-18,90,H,0,propia,alta,99748163,39310,3,equipo,malo
MAKA341203,Alicia,Maxwell,Kiefer,1934-12-03,84,M,1,no,muy-grande,41850821,20223,15,vacaciones,malo
DOWS770504,Shirley,Dyson,Wonders,1977-05-04,41,M,0,propia,pequena,2861,28560,12,otros,malo
ROMA740909,Andrea,Roberson,Myles,1974-09-09,44,M,1,renta,alta,68673661,36750,4,vacaciones,bueno
TULJ270517,Julie,Turner,Louis,1927-05-17,91,M,0,renta,moderada,43183,35307,13,equipo,malo
BADP040417,Patricia,Bailey,Downing,1904-04-17,115,M,3,no,alta,72495088,36620,9,radio,malo
LUPJ450616,Johnny,Luchetti,Price,1945-06-16,73,H,3,no,pequena,2781,18454,9,vacaciones,bueno
AIMD740129,Donald,Aliberti,Mcneil,1974-01-29,45,H,2,no,pequena,8341,13126,11,vacaciones,malo
HENS710526,Stella,Henry,Newman,1971-05-26,47,M,0,no,moderada,13984,42406,18,reparaciones,bueno
RAGL190324,Lawrence,Ramsey,Guinasso,1919-03-24,100,H,1,renta,alta,69095961,844,15,otros,malo
CAFE870418,Eric,Calloway,Fudge,1987-04-18,32,H,3,propia,alta,79034527,14319,5,TV,malo
JAJB361102,Brittany,James,Jenkins,1936-11-02,82,M,2,renta,muy-grande,85696400,40165,24,otros,bueno
LEFB060905,Brendan,Lee,Farmer,1906-09-05,112,H,0,renta,muy-grande,53647142,16818,3,radio,malo
SUBK350321,Kevin,Sutton,Brown,1935-03-21,84,H,3,no,pequena,7844,5410,12,muebles,bueno
CODL980427,Louis,Countryman,Davis,1998-04-27,21,H,1,no,pequena,8795,45119,22,otros,bueno
OOWL631110,Luis,Oconnor,Walker,1963-11-10,55,H,1,propia,alta,83932845,30693,9,otros,malo
SOLW810521,Wilbur,Soderquist,Leroy,1981-05-21,37,H,0,propia,muy-grande,4615236,45486,8,negocios,malo
DIBP450226,Pamela,Diaz,Bodenhamer,1945-02-26,74,M,3,renta,moderada,44417,11442,24,TV,malo
AEGG960728,Gladys,Ayers,Grindstaff,1996-07-28,22,M,1,no,moderada,22396,18329,21,reparaciones,bueno
BUDT531017,Tom,Bugbee,Davis,1953-10-17,65,H,1,renta,moderada,26376,12383,16,equipo,malo
HEMJ780926,Johnny,Hernandez,Myers,1978-09-26,40,H,1,propia,pequena,833,12397,5,equipo,malo
TAKG980803,Greg,Tall,Kendig,1998-08-03,20,H,1,no,pequena,3868,41670,12,carro,bueno
ROGD571104,Demetria,Rood,Gant,1957-11-04,61,M,2,renta,pequena,8050,38820,14,carro,bueno
BASJ820331,John,Blackburn,Scholle,1982-03-31,37,H,0,renta,alta,32145068,34279,5,radio,malo
SOMM260804,Meredith,Scott,Malloy,1926-08-04,92,M,2,propia,pequena,4122,36944,23,otros,malo
MOCA000626,Alice,Morris,Chapin,1900-06-26,118,M,3,renta,muy-grande,23381710,34484,21,TV,malo
HOLR730701,Russell,Honeycutt,Lamoine,1973-07-01,45,H,3,propia,muy-grande,34308427,39985,20,TV,bueno
DOLH961006,Helen,Dow,Luckey,1996-10-06,22,M,0,no,pequena,8580,17242,4,muebles,malo
MADK830925,Kenneth,Maples,Dorsey,1983-09-25,35,H,1,propia,alta,41272301,5524,11,educacion,malo
SIBL510904,Lenard,Smith,Bishop,1951-09-04,67,H,0,renta,muy-grande,92152935,16858,11,equipo,malo
GOBM050805,Maribel,Gordon,Barnes,1905-08-05,113,M,1,propia,muy-grande,25379788,15445,17,carro,bueno
TOHJ380810,Jamie,Torres,Hackworth,1938-08-10,80,M,3,no,muy-grande,67066380,30102,23,muebles,malo
BOCJ810530,John,Bowen,Corcoran,1981-05-30,37,H,1,no,alta,59829628,5753,2,radio,malo
SIMC690205,Christine,Smith,Milton,1969-02-05,50,M,1,no,moderada,25339,5132,6,educacion,malo
SOBD930125,Dave,Shoults,Bass,1993-01-25,26,H,3,no,pequena,6385,45124,3,muebles,bueno
CASL910706,Lois,Chavez,Scott,1991-07-06,27,M,1,propia,muy-grande,11076293,10238,18,educacion,malo
SEBM241123,Mark,Sevier,Balagtas,1924-11-23,94,H,3,propia,pequena,57,14470,14,muebles,malo
VECK350114,Kylie,Ventura,Chapman,1935-01-14,84,M,1,propia,moderada,17973,40825,24,educacion,malo
EAHM010927,Marie,Evans,Harriman,1901-09-27,117,M,1,propia,muy-grande,55432300,49180,11,linea blanca,bueno
WAAF871015,Felix,Walker,Augenstein,1987-10-15,31,H,1,renta,muy-grande,81226541,48832,5,linea blanca,malo
HOGD981217,Donald,Horton,Garroutte,1998-12-17,20,H,2,no,moderada,37578,31196,2,TV,malo
GOBR340223,Rebecca,Goodwin,Baker,1934-02-23,85,M,3,renta,pequena,4443,45173,8,radio,malo
RUFP130629,Patricia,Russell,Flores,1913-06-29,105,M,1,propia,muy-grande,97307341,16240,19,otros,malo
NABC990426,Candice,Nance,Bergeron,1999-04-26,20,M,0,renta,pequena,2754,24921,8,carro,malo
VEBT321201,Thomas,Velasco,Brazee,1932-12-01,86,H,2,propia,alta,26919381,37285,5,negocios,bueno
WIMK871203,Katrina,Williams,Metz,1987-12-03,31,M,3,no,moderada,10954,26254,2,TV,bueno
PAFD260223,David,Parker,Fernandes,1926-02-23,93,H,0,propia,moderada,36595,1507,20,radio,bueno
TUBJ540901,Jerry,Trujillo,Boesen,1954-09-01,64,H,2,propia,alta,36935914,45347,6,equipo,malo
WEVJ340705,Jan,Wethje,Valerio,1934-07-05,84,M,0,no,pequena,7844,9576,24,radio,malo
BEWA020513,Arthur,Bez,Whiteley,1902-05-13,116,H,2,no,alta,24353227,13384,23,radio,bueno
WINJ460311,Joshua,Wirkkala,Newton,1946-03-11,73,H,3,no,pequena,1801,44311,16,linea blanca,malo
CIVR880801,Ronald,Childress,Villa,1988-08-01,30,H,2,renta,moderada,38615,1577,21,TV,malo
CAMN091120,Nancy,Carr,Morgan,1909-11-20,109,M,2,propia,pequena,2765,41854,24,educacion,bueno
DUHF370722,Frank,Drum,Henning,1937-07-22,81,H,2,renta,pequena,8956,17259,17,linea blanca,malo
WEAP970206,Pamela,Wells,Alvord,1997-02-06,22,M,2,no,alta,36183202,34041,13,educacion,bueno
TOHG030117,Gerald,Torres,Harris,1903-01-17,116,H,3,no,pequena,6267,45065,15,carro,malo
HAMF330519,Freddy,Harper,Mcpeak,1933-05-19,85,H,3,no,pequena,8063,24694,8,vacaciones,bueno
LELR180923,Robert,Leaks,Liscomb,1918-09-23,100,H,3,renta,moderada,31324,30525,16,radio,bueno
HOVT401121,Tiffany,Holtzman,Vega,1940-11-21,78,M,0,no,alta,43947714,18523,8,otros,malo
HASW710923,Wendy,Hardin,Svendsen,1971-09-23,47,M,2,propia,pequena,7866,14465,17,radio,bueno
MIRK661126,Kristin,Miceli,Rea,1966-11-26,52,M,3,renta,alta,97955570,10661,6,TV,malo
PATR181119,Robert,Paquette,Thomas,1918-11-19,100,H,0,renta,muy-grande,161694,47274,2,reparaciones,malo
OOTT640722,Terrence,Ochoa,Tipton,1964-07-22,54,H,0,renta,moderada,25814,7789,5,educacion,bueno
FOSR840223,Robert,Foster,Sears,1984-02-23,35,H,3,renta,alta,65893845,38482,19,reparaciones,bueno
CASO520219,Oliver,Carrasquillo,Smith,1952-02-19,67,H,1,propia,moderada,32026,3911,19,equipo,malo
GOPB340630,Bobby,Gonzales,Perkins,1934-06-30,84,H,1,propia,pequena,424,39780,22,reparaciones,bueno
TOWW560718,William,Torre,Walton,1956-07-18,62,H,2,no,moderada,42977,46331,16,negocios,bueno
WABW260124,William,Washington,Beedle,1926-01-24,93,H,0,renta,moderada,38896,29706,24,muebles,bueno
CASR190609,Roger,Capps,Sherrill,1919-06-09,99,H,2,propia,moderada,35138,33013,17,educacion,malo
WIGJ920210,Joseph,Williams,Griffin,1992-02-10,27,H,2,propia,muy-grande,27787685,38604,3,negocios,malo
